caso_id,bloque,token_propuesto,valor_esperado,base,solapa,clave,columna,operacion,estado,nota
V-38,agregado_semana_jm,ecv_inscriptos,2445,rdv,RVD JM-CM - ES,Figura=Jorge Macri; STATUS=Realizada; FECHA 23/07-31/07,Inscriptos,SUMA,exacto,universo del TEMARIO (5 encuentros, incluye San Cristóbal 23/07)
V-39,agregado_semana_jm,ecv_insc_mail,1170,rdv,RVD JM-CM - ES,idem V-38,Mail,SUMA,exacto,
V-40,agregado_semana_jm,ecv_insc_digital,960,rdv,RVD JM-CM - ES,idem V-38,RRSS,SUMA,exacto,confirma V-09: es RRSS
V-41,agregado_semana_jm,ecv_insc_cc,272,rdv,RVD JM-CM - ES,idem V-38,Call Center,SUMA,exacto,
V-42,agregado_semana_jm,ecv_insc_ivr,43,rdv,RVD JM-CM - ES,idem V-38,IVR,SUMA,exacto,
V-43,agregado_semana_jm,ecv_asistentes,497,rdv,RVD JM-CM - ES,idem V-38,Asistentes,SUMA,exacto,
V-44,agregado_semana_jm,ecv_encuentros,5,rdv,RVD JM-CM - ES,idem V-38,-,CUENTA,exacto,San Cristóbal 23/07 + Retiro 24/07 + Villa Urquiza 27/07 + Belgrano 28/07 + Caballito 29/07
V-45,agregado_semana_jm,identidad_canales,2445,rdv,RVD JM-CM - ES,idem V-38,Mail+CC+IVR+RRSS+Difusión,SUMA,exacto,cierra al peso contra Inscriptos; vale también por fila
C-01,agregado_semana_jm,ecv_inscriptos,2307,rdv,RVD JM-CM - ES,ventana 24/07-30/07 (vie-jue),Inscriptos,SUMA,contradice,lo que publicó el motor; excluye San Cristóbal 23/07 e incluye Caballito 29/07
C-02,agregado_semana_jm,ecv_encuentros,4,rdv,RVD JM-CM - ES,idem C-01,-,CUENTA,contradice,"el deck publicado también dice 4, pero son otros cuatro: incluye San Cristóbal, no incluye Caballito"
C-03,agregado_semana_jm,ecv_barrios,"Belgrano, Caballito, Retiro, Villa Urquiza",rdv,RVD JM-CM - ES,idem C-01,Barrio,LISTA,contradice,"el deck publica San Cristóbal, Retiro, Villa Urquiza, Belgrano"
X-10,resumen_ejecutivo_jm,imp_total,6442951,deriva,-,imp_meta+imp_google+imp_prog,-,SUMA,exacto,716.650+531.403+5.194.898=6.442.951; es derivado, no necesita fuente propia
X-11,resumen_ejecutivo_jm,contenidos_total,30,deriva,-,pauta_meta+pauta_google+pauta_prog,-,SUMA,exacto,9+7+14=30; ídem
V-46,ecv_caballito_2907,ecv_inscriptos,112,rdv,RVD JM-CM - ES,Figura=Jorge Macri; FECHA=2026-07-29,Inscriptos,VALOR,exacto,publicado en el deck del 07/08; el dato existía en RDV desde el 29/07
