marcador	familia	informe_id	base_id	solapa	campo_logico	periodo_ref	operacion	valor_fijo	filtro	formato	catalogo	separador	notas
enc_impresiones	enc	jm	digital	Digital	dig_impresiones		ULTIMO			miles			cableado 04/08 (pedido m2 v2 Parte D) - sin numero hasta el Paso 5: falta id_cuenta
enc_alcance	enc	jm	digital	Digital	dig_alcance		ULTIMO			miles			cableado 04/08 — ambiguedad Digital/dig_alcance vs Alcance/alc_alcance resuelta por coherencia con enc_impresiones (misma solapa y misma fila). Reversible: una celda
ecv_encuentros	ecv	jm	rdv	RVD JM-CM - ES	inscriptos		CONTEO		figura=Jorge Macri	numero			CONTEO cuenta filas, no valores: da los encuentros de la ventana. El campo_logico es solo el ancla de columna que pide el despachador
ecv_insc_mail_pct	ecv	jm	rdv	RVD JM-CM - ES	insc_mail/inscriptos		PCT		figura=Jorge Macri	porcentaje_sin_signo			formato numero y no porcentaje (05/08): la caja de la lamina ya trae su propio % — «{{ecv_insc_mail}}({{ecv_insc_mail_pct}}%)». Con porcentaje saldria "59.5%%", el mismo bug que el formato fraccion arreglo el 04/08. Falta el formato "unidades de pct sin signo"; el prompt pidio no tocar los porcentajes, asi que se usa numero.
ecv_insc_cc_pct	ecv	jm	rdv	RVD JM-CM - ES	insc_cc/inscriptos		PCT		figura=Jorge Macri	porcentaje_sin_signo			formato numero y no porcentaje (05/08): la caja de la lamina ya trae su propio % — «{{ecv_insc_mail}}({{ecv_insc_mail_pct}}%)». Con porcentaje saldria "59.5%%", el mismo bug que el formato fraccion arreglo el 04/08. Falta el formato "unidades de pct sin signo"; el prompt pidio no tocar los porcentajes, asi que se usa numero.
ecv_insc_ivr_pct	ecv	jm	rdv	RVD JM-CM - ES	insc_ivr/inscriptos		PCT		figura=Jorge Macri	porcentaje_sin_signo			formato numero y no porcentaje (05/08): la caja de la lamina ya trae su propio % — «{{ecv_insc_mail}}({{ecv_insc_mail_pct}}%)». Con porcentaje saldria "59.5%%", el mismo bug que el formato fraccion arreglo el 04/08. Falta el formato "unidades de pct sin signo"; el prompt pidio no tocar los porcentajes, asi que se usa numero.
ecv_insc_digital_pct	ecv	jm	rdv	RVD JM-CM - ES	insc_digital/inscriptos		PCT		figura=Jorge Macri	porcentaje_sin_signo			formato numero y no porcentaje (05/08): la caja de la lamina ya trae su propio % — «{{ecv_insc_mail}}({{ecv_insc_mail_pct}}%)». Con porcentaje saldria "59.5%%", el mismo bug que el formato fraccion arreglo el 04/08. Falta el formato "unidades de pct sin signo"; el prompt pidio no tocar los porcentajes, asi que se usa numero.
ecv_insc_dif_pct	ecv	jm	rdv	RVD JM-CM - ES	insc_dif/inscriptos		PCT		figura=Jorge Macri	porcentaje_sin_signo			formato numero y no porcentaje (05/08): la caja de la lamina ya trae su propio % — «{{ecv_insc_mail}}({{ecv_insc_mail_pct}}%)». Con porcentaje saldria "59.5%%", el mismo bug que el formato fraccion arreglo el 04/08. Falta el formato "unidades de pct sin signo"; el prompt pidio no tocar los porcentajes, asi que se usa numero.
enc_audiencia	enc	jm	digital	Directa IVR	ivr_audiencia		SUMA			numero			SUMA y no ULTIMO (11/08): VALIDACION 3.2 verifico digito a digito que el deck publicado es la suma de las dos filas de la cuenta (40874+37763, 37055+34179, 13766+13833, 82+174). ULTIMO tomaba solo la segunda.
enc_atendidos	enc	jm	digital	Directa IVR	ivr_atendidos		SUMA			numero			SUMA y no ULTIMO (11/08): VALIDACION 3.2 verifico digito a digito que el deck publicado es la suma de las dos filas de la cuenta (40874+37763, 37055+34179, 13766+13833, 82+174). ULTIMO tomaba solo la segunda.
