caso_id,bloque,token_propuesto,valor_esperado,base,solapa,clave,columna,operacion,estado,nota
V-126,call_center_base_nueva_0908,cc_base,6011,DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,Remitente=JM; Fecha (col K) en 24-31/07/2026,Base Barrida,SUMA,exacto,"REPRODUCE V-105 POR OTRO CAMINO Y SOBRE OTRA FUENTE, Y ESO ES LO QUE LO HACE CITABLE. V-105 midio 6.011 sobre looker/CC recortando por PERTENENCIA a Cuentas y eligiendo a mano la cuenta 3289-JUNJDGAG. Aca el mismo numero sale de un criterio que no nombra ninguna cuenta: Fecha propia en ventana mas Remitente=JM, 3 filas, 1 cuenta. || POR QUE IMPORTA QUE SEA OTRO CAMINO: son dos lecturas que fallan distinto. V-105 depende de que alguien acierte la cuenta; esta no. Que las dos den 6.011 dice que el criterio no acerto por casualidad sobre una cuenta elegida a mano. || LA FORMA DEL CRITERIO NO ES NUEVA: es la de mail_entregados que midio C-78 -fecha propia mas ambito sobre columna propia-, que es el mecanismo que X-37 declaro EXISTENTE y sin columna donde expresarse. Esta solapa trae la columna. || MEDIDO el 08/09/2026 con medirUniversoCallCenterBaseNueva, 1980 filas, identidad 2+3+4=1 cerrada en filas y en Base Barrida. Log parcial en docs/MEDICION_universo_call_center_2026-09-08.md. || NO PRUEBA QUE EL MOTOR LEA ASI: la base no esta dada de alta y ningun marcador la toca. Es la definicion de negocio, no el motor."
V-127,call_center_base_nueva_0908,cc_base,6851,DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,Remitente=JM; Fecha (col K) en 14-20/08/2026,Base Barrida,SUMA,exacto,"ES EL NUMERO QUE HASTA HOY NINGUNA REGLA ESCRITA DEL REPO REPRODUCIA. C-80 lo registraba como publicado por el equipo y X-28 lo listaba entre los que ninguna de las 13 propiedades barridas alcanzaba. El mismo criterio de V-126, sin cambiarle nada: Fecha en ventana mas Remitente=JM, 3 filas, 1 cuenta, 6.851. || EL PAR VALE MAS QUE CADA UNO SOLO: un criterio que acierta UNA ventana es una coincidencia sobre 20 filas; el mismo criterio sin tocar acertando las DOS es el hallazgo. Y esas dos ventanas son las dos que tienen deck publicado, o sea todas las que existen. || MEDIDO el 08/09/2026, misma corrida que V-126, identidad de control cerrada. || LO QUE NO PRUEBA, Y VA ACA PORQUE ES LO QUE FALTA PARA CABLEAR: dos ventanas NO discriminan entre criterios que en las dos coinciden. En julio y en agosto hubo UNA SOLA cuenta JM con call center, asi que -todo JM de la semana- y -la cuenta del encuentro- seleccionan exactamente las mismas filas. Es el mismo limite que X-28 encontro con sus 13 propiedades."
C-107,call_center_base_nueva_0908,cc_base,"7.096 = 6.851 + 245, y son DOS UNIVERSOS distintos",DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,3488-AGOJDGAG: la cuenta entera contra las filas con Fecha en ventana,Base Barrida,SUMA,cerrado,"NO ERA UNA CONTRADICCION: C-69 MIDIO POR CUENTA Y EL DECK PUBLICA POR FECHA. El repo guardaba dos valores para la misma ventana y la misma cuenta -7.096 en C-69 y X-37, los dos CERRADOS; 6.851 en C-80 y X-28, los dos NO cerrados- y no habia con que desempatarlos. || LA SONDA LOS RECONCILIA, Y 3488-AGOJDGAG TIENE CUATRO FILAS, NO TRES: Convocatoria 14/08 6000, Confirmacion 14/08 802, IVR Convocatoria 14/08 49, IVR Convocatoria 13/08 245. => 6000+802+49 = 6.851, las filas con Fecha EN la ventana 14-20/08, que es lo que publica el deck. 6000+802+49+245 = 7.096, las cuatro filas de la CUENTA, que es lo que midio C-69. LOS DOS SON CORRECTOS SOBRE SU PROPIA PREGUNTA. || POR QUE NADIE PODIA VERLO: looker/CC NO TIENE COLUMNA TEMPORAL PROPIA, asi que sobre esa fuente -por cuenta- y -por fecha- son indistinguibles. La contradiccion no era de las mediciones: era de la fuente. || DEL LADO DE CONTACTADOS LA DIFERENCIA ES 94 Y ES LA MISMA FILA: V-97 la midio en 245/94 sobre la ventana anterior. || C-69, X-37, V-97 Y V-105 NO SE RETRACTAN NI CAMBIAN DE ESTADO. Lo que se agrega es de que universo es cada numero. || MEDIDO el 08/09/2026. FALTA: la sonda de 3289-JUNJDGAG no llego al repo, asi que la reconciliacion equivalente del lado de julio NO esta medida."
C-108,call_center_base_nueva_0908,cc_base / gcba_cc_base,residuo 0 en las dos ventanas; 104 filas fuera de ambos ambitos en la solapa entera,DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,"Remitente ni JM ni GCBA, dentro de la ventana y sobre toda la solapa",Remitente,CONTEO,cerrado,"EL CORTE POSITIVO POR LOS DOS LADOS PARTICIONA ESTAS DOS VENTANAS, Y NO LA SOLAPA. Decision del usuario del 07/09: jm es Remitente=JM y gcba es Remitente=GCBA, NO Remitente!=JM. Medido el 08/09: el residuo da CERO en 24-31/07 y en 14-20/08, y la identidad 2+3+4=1 cierra en filas y en Base Barrida en las dos. || PERO EL CERO ES DE LA VENTANA, NO DE LA SOLAPA, Y ESA DISTINCION ES EL CASO. Censo de Remitente sobre las 1980 filas: GCBA 1400, JM 476, ANUNCIO 88, vacia 10, N/A 5, No se activo 1. SEIS VALORES DISTINTOS => 104 filas no son ni JM ni GCBA. Simplemente no caen en estas dos ventanas. || POR ESO EL CORTE POSITIVO NO ES UNA PRECAUCION TEORICA: con gcba = Remitente!=JM esas 104 filas -las 5 de N/A y las 10 vacias incluidas- caerian en GCBA y sumarian EN SILENCIO del lado equivocado. Con = GCBA quedan fuera de los dos ambitos y se ven. || ESTO NO DEROGA ivr_vocero!=JM sobre digital/Directa IVR: DIMENSIONES_ indexa por base y solapa justamente para que dos solapas puedan cortar distinto. || VERIFICADO QUE ES EXPRESABLE, leyendo el comparador real: valorPasaFiltro_ con op = y celda vacia da false de los dos lados, asi que la fila queda afuera de ambos ambitos. Con != daria true y entraria a gcba."
C-109,call_center_base_nueva_0908,(caso de metodo - ningun token),el control positivo del instrumento tenia que traer 3289 en agosto,DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,criterio 6 -el corte por nombre- sobre la ventana 14-20/08,-,-,cerrado,"EL CONTROL POSITIVO NO PASO, Y NO PUEDE PASAR: ERA UN DEFECTO DE LA FUENTE VIEJA USADO COMO CASO CONOCIDO. El instrumento exigia que el criterio 6 trajera 3289-JUNJDGAG en la ventana de agosto, porque eso es lo que C-69 midio como el modo de falla del corte por nombre. No lo trajo. || LA CAUSA, Y NO ES UN BUG: C-69 describe una entrada POR PERTENENCIA -3289 es una cuenta de junio que caia en la ventana de agosto porque su fecha_fin se extendia, que es la deriva de X-29 y el motivo de R-30-. Con Fecha PROPIA, una fila del 27/07 no cae en 14-20/08 POR CONSTRUCCION. => El control quedo INERTE en cuanto el defecto dejo de existir. || ES LA QUINTA LECCION DE CLAUDE.md seccion 4 CUMPLIENDOSE: -el control positivo de un detector no puede ser un defecto presente en los datos reales, porque se apaga cuando el sistema se arregla-. La leccion estaba escrita el 05/09 y este es su primer caso medido. || VA COMO HALLAZGO DE METODO Y NO COMO DISCULPA: un control inerte que se lee como -falla- manda a buscar un bug que no esta, y eso ya costo tiempo en este repo. || QUEDA ABIERTO: el instrumento se quedo SIN control positivo valido. El sustituto tiene que ser SINTETICO -un caso que no dependa del estado de los datos- y es trabajo de otro prompt."
C-110,call_center_base_nueva_0908,cc_* contra mail_* e imp_*,el Resumen Ejecutivo NO mezcla dos universos,DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,el universo de cc_* contra el de mail_* e imp_* en la misma lamina,-,-,cerrado,"SUPERSEDE LA PREMISA DE C-80: LOS -DOS UNIVERSOS- ERAN UN ARTEFACTO DE LA FUENTE VIEJA. C-80 -abierto desde el 22/08- afirma que la lamina mezcla dos universos: mail e impresiones publican todo JM de la semana y Call Center publica UNA cuenta, mas angosta. Su evidencia era un factor 16: la pertenencia sobre looker/CC daba 18 y 21 cuentas -el gabinete entero- contra los 6.011 publicados. || LO MEDIDO EL 08/09 DICE OTRA COSA: con Fecha propia mas Remitente=JM -que es la MISMA FORMA de criterio que mail_entregados, medida por C-78- salen 3 filas de 20 en julio y 3 de 13 en agosto, y reproduce los DOS numeros publicados. El bloque NO mira un universo mas angosto: mira el mismo que el resto de su lamina, y da una cuenta porque en esas dos ventanas hubo UNA SOLA cuenta de JM con call center. || EL FACTOR 16 NO ERA DEL NEGOCIO: ERA LA FALTA DE UNA COLUMNA DE FECHA. Sin ella looker/CC solo podia recortar por pertenencia, y la pertenencia trae el gabinete. => La anomalia que fundo C-80 se disuelve con la fuente nueva. || C-80 NO SE EDITA NI SE RETRACTA: su medicion del 22/08 era correcta sobre looker/CC. Lo que cambia es la fuente. || SE REABRE POR UN EVENTO, NO POR UNA FECHA: el dia que una ventana traiga MAS DE UNA cuenta JM con filas en Call Center y el deck publique una sola, el universo vuelve a ser mas angosto que el de la lamina y esta afirmacion cae. Eso un censo lo puede mirar."
C-111,call_center_base_nueva_0908,cc_campanias / cc_base / cc_contactados / cc_contact_pct,X-28 se queda sin referente: el bloque no mira otro universo,DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,QUE CUENTAS entran en el bloque Call Center del Resumen,-,-,cerrado,"X-28 SE CIERRA PORQUE SU PREGUNTA PIERDE EL REFERENTE, NO PORQUE SE HAYA DISCRIMINADO ENTRE CRITERIOS, Y ESA DISTINCION ES TODO EL CASO. X-28 fue REFORMULADO el 22/08 a -por que el bloque Call Center mira otro universo que el resto de su propia lamina- y su destrabe declarado era -una frase del equipo-. Con lo medido en C-110 el bloque NO mira otro universo => la pregunta se queda sin sobre que preguntar, y la frase del equipo deja de hacer falta PARA ESTO. || LO QUE NO SE LOGRO, Y HAY QUE DECIRLO PORQUE ES LO QUE FALTA PARA CABLEAR SIN RIESGO: dos ventanas NO SEPARAN -todo JM de la semana- de -la cuenta del encuentro-, porque en las dos coinciden: hubo una sola cuenta JM con call center en cada una. Es exactamente lo que X-28 ya habia encontrado con su barrido -los tres desempates aciertan los dos periodos POR IGUAL, y dos periodos no los pueden separar-. || POR QUE ASI Y TODO CORRESPONDE CERRAR: la carga de la prueba se dio vuelta. X-28 existia porque Call Center se comportaba distinto de sus vecinos de lamina; ya no. Un bloque que se comporta como mail_entregados no necesita una regla propia, y -todo JM de la semana- es el default de la lamina segun C-78. || SE REABRE POR EL MISMO EVENTO QUE C-110: una ventana con mas de una cuenta JM con call center donde el deck publique una sola. || DECLARADO Y NO EJECUTADO: la regla provisoria de CONFIG_INFORMES.md seccion 4.7 y PLAN.md NO se tocan en este prompt. Eso es del prompt del alta."
V-128,call_center_base_nueva_0908,cc_contactados,1878,DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,Remitente=JM; Fecha (col K) en 24-31/07/2026,Contactados U,SUMA,exacto,"REPRODUCE EL CONTACTADOS DE JULIO SOBRE EL MISMO RECORTE QUE V-126, SIN TOCARLO. El criterio no se volvio a barrer: Fecha en ventana mas Remitente=JM, las mismas 3 filas que dan los 6.011 de Base Barrida. La columna es Contactados U (col D), resuelta POR ENCABEZADO. || EL ESPERADO SALE DEL REPO Y ES exacto POR PARTIDA DOBLE: V-65 y V-105 lo miden en 1.878 sobre looker/CC -1380+498-. Aca sale 1.878 de otra fuente y por otro camino. || LO QUE AGREGA SOBRE V-126: el criterio no acerto solo en la metrica con la que se lo eligio. Un recorte que reproduce UNA columna puede estar trayendo las filas equivocadas y compensando; que reproduzca DOS columnas independientes del mismo conjunto de filas es evidencia de que las filas son las correctas, no solo el total. || MEDIDO el 08/09/2026 con medirCampaniasCallCenterBaseNueva, control positivo SINTETICO en verde antes de leer un dato. || NO PRUEBA QUE EL MOTOR LEA ASI: la base no esta dada de alta y no existe ningun marcador cc_* vivo -medido sobre el snapshot MARCADORES del 31/08: cero-."
V-129,call_center_base_nueva_0908,cc_contact_pct,31,DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,Remitente=JM; Fecha (col K) en 24-31/07/2026,Contactados U / Base Barrida,PCT,exacto,"31,24 % REDONDEA A 31, QUE ES LO PUBLICADO. Calculado con opPCT, la operacion REAL del motor, sobre los mismos dos arreglos de las 3 filas del recorte: 1878/6011. || EL ESPERADO ES exacto EN EL REPO: V-66 y V-105. Y V-66 agrega el argumento que lo hace fuerte -no es que el porcentaje coincida por casualidad-: con Base enviada daria 1878/6673 = 28,1 % y el deck dice 31. El cociente discrimina entre las dos columnas candidatas. || ES LA TERCERA MAGNITUD INDEPENDIENTE QUE EL MISMO RECORTE REPRODUCE en julio -Base Barrida, Contactados y su cociente-, sobre el mismo conjunto de 3 filas. || MEDIDO el 08/09/2026. || OJO CON AGOSTO: alli el mismo calculo da 23,59 % -> 24 y NO HAY ningun porcentaje publicado registrado en el repo contra el cual contrastarlo. Eso es C-116 y NO se inventa un esperado."
V-130,call_center_base_nueva_0908,cc_contactados,1616,DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,Remitente=JM; Fecha (col K) en 14-20/08/2026,Contactados U,SUMA,exacto,"REPRODUCE EL CONTACTADOS DE AGOSTO, Y CIERRA LA RECONCILIACION DE C-107 DEL OTRO LADO. El mismo recorte que V-127 da 1.616, que es lo que C-80 registra como publicado por el equipo. || LA RECONCILIACION QUEDA COMPLETA EN LAS DOS METRICAS: C-107 mostro 6.851 = 7.096 - 245 en Base Barrida -las filas con Fecha EN la ventana contra las cuatro filas de la CUENTA-. Del lado de contactados la diferencia es 94 -1.710 de C-69 contra 1.616-, y es LA MISMA FILA del 13/08, que V-97 midio en 245/94. => Las dos columnas se reconcilian por el mismo corte y con la misma fila, que es lo que descarta que el 6.851 haya salido bien por casualidad. || EL PESO DEL ESPERADO NO ES EL MISMO QUE EN JULIO Y HAY QUE DECIRLO: 1.616 sale de C-80, que esta ABIERTO. Julio se contrasta contra casos exacto -V-65, V-66, V-105-; agosto contra un caso no cerrado. || MEDIDO el 08/09/2026."
C-112,call_center_base_nueva_0908,cc_campanias,2 en julio y 3 en agosto — CUATRO candidatas los aciertan,DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,que cuenta el N de campanias de Call Center del Resumen,Tipo de llamado (R) / Campana (A) / Tipo (I),CONTEO_DISTINTOS,abierto,"cc_campanias NO QUEDA VALIDADO, Y EL MOTIVO ES QUE CUATRO CANDIDATAS DE NUEVE ACIERTAN LAS DOS VENTANAS. Se midieron nueve, cada una con su desglose. Aciertan 2 y 3: la 2 -Tipo de llamado (R) distintos-, la 3 -Campana (A) distintos, valor completo-, la 7 -Tipo (I) distintos- y la 8 -prefijo de Campana antes del : -. || LAS QUE CAEN, Y CAEN LAS DOS EN JULIO: la 1 -filas del recorte- da 3; la 4 -filas con Base Barrida != 0- da 3; la 6 -CUENTA_NO_VACIAS sobre Tipo de llamado- da 3; la 9 -filas con Contactados != 0- da 3; la 5 -ID BASE distintos- da 3. En julio hay TRES filas y el deck publica DOS, asi que todo lo que cuente filas falla. || POR QUE HAY TRES FILAS DONDE looker/CC TENIA DOS: la base nueva tiene UNA FILA POR FECHA DE ENVIO y looker/CC agregaba por campania. Las dos Convocatoria de 3289 -3.000 del 24/07 y 1.726 del 27/07- son la MISMA campania enviada dos veces, y 3.000+1.726 = 4.726, que es la fila unica de looker/CC. => El deck cuenta CAMPANIAS, no envios. || DOS VENTANAS NO DISCRIMINAN, Y NO SE DESEMPATA ACA. Hace falta una ventana donde las cuatro difieran. Es la misma forma que X-28 con sus 13 propiedades: cuando varios criterios aciertan los mismos dos periodos, los dos periodos no son evidencia para elegir. || LO QUE SI SE PUEDE DECIR: la matriz paso de 9 candidatas a 4, y el desglose las parte en DOS FAMILIAS que no dicen lo mismo -ver C-114-. || BLOQUEA EL CABLEADO DE cc_campanias. NO bloquea cc_base ni cc_contactados ni cc_contact_pct."
C-113,call_center_base_nueva_0908,cc_campanias,ninguna de las dos lecturas de C-62 sobrevive en la base nueva,DGPLES - Directa acumulado (SIN ALTA),Call Center - Metricas,las dos lecturas de C-62 medidas por separado sobre la fuente nueva,Tipo de llamado (R) / Base Barrida (C),CONTEO,cerrado,"C-62 NO SE TRASLADA A LA BASE NUEVA, Y NO ES QUE ESTE MAL: ES DE OTRA FUENTE. C-62 cerro cc_campanias sobre looker/CC diciendo que la cuenta 3488 tiene tres filas -Convocatoria 6.000, Reconfirmacion 0, IVR convocatoria 245- y que el conteo son las filas con valor distinto de cero => 2. || PRIMERO, C-62 DECLARA DOS COSAS DISTINTAS Y HAY QUE MEDIRLAS POR SEPARADO: sus campos dicen columna = Tipo de llamado y operacion = CUENTA_NO_VACIAS; su NOTA dice filas con valores distintos de cero, que es sobre Base Barrida. Son dos criterios, no uno. || SEGUNDO, MEDIDAS LAS DOS SOBRE LA BASE NUEVA, LAS DOS FALLAN JULIO: CUENTA_NO_VACIAS sobre Tipo de llamado -candidata 6- da 3, y el censo del 08/09 explica por que sin ambiguedad -esa columna tiene 1980 de 1980 con dato, asi que contar no vacias ES contar filas-. Filas con Base Barrida != 0 -candidata 4- tambien da 3, porque en la base nueva NO HAY una fila en cero: las tres del recorte de julio traen 3.000, 1.726 y 1.285. || EL CERO ERA DE looker/CC, NO DEL NEGOCIO. Alli 3488 tenia una Reconfirmacion en 0 y por eso contar no-ceros daba el numero correcto POR CASUALIDAD DE ESA CUENTA. => Un criterio calibrado sobre un artefacto de la fuente vieja no sobrevive al cambio de fuente, y eso es lo que este caso deja escrito. || C-62 NO SE RETRACTA NI CAMBIA DE ESTADO: su medicion sobre looker/CC sigue siendo correcta."
